Round,GLOSS,Gaelic,ConcatGLOSSGaelic,interleavingGdGLOSS,ReplacingGaelic,ReplacingGLOSS,Para,ParaPart,ParaPartHalf,ParaPartHalfOver,Over Gaelic,google ,ParaReal
0,18.39,17.29,15.42,13.67,9.44,15.95,25.42,32.64,24.07,26.31,29.05,22.09,30.4
1,18,16.42,14.31,12.49,9.07,15.6,25.32,32.28,18.58,24.85,28.61,25.38,30.07
2,16.02,15.29,15.38,11.01,7.69,14.15,20.72,29.94,18,22.96,23.78,23.72,26.05
3,20.22,15.97,14.18,12.33,9.12,14.72,22.22,31.18,22.25,25.48,27.5,23.21,29.67
4,19.02,17.79,18.63,12.56,9.08,15.74,24.27,32.83,23.79,25.33,25.51,22.31,28.86
5,15.53,16.73,14.89,12.13,10.45,14.88,24.55,31.11,21.4,24.39,27.88,23.41,29.46
6,18,17.11,15.16,11.55,8.62,14.45,27.03,32.19,23.61,26.29,25.72,24.53,30.57
7,20.08,16.37,15.2,12.78,10,16.41,25.34,33.52,23.73,25.61,27.12,22.78,30.45
8,15.82,15.93,15.5,12.43,10.52,15.15,24.24,30.93,23.16,25.59,25.2,25.67,28.83
9,15.93,16.99,15.72,11.65,8.46,17.61,25.96,34.35,24.49,26.32,26.39,23.42,31.28
Mean,17.701,16.589,15.439,12.26,9.245,15.466,24.507,32.097,22.308,25.313,26.676,23.652,29.564
