Round,GLOSS,GLOSS_fasttext,Gaelic,Gaelic_fasttext,ConcatGLOSSGaelic,ConcatGLOSSGaelicOver4,GLOSS Gaelic,hyGD,hyGW,para,gd2gw1,gd3gw1,gd4gw1,gd2gw2,gd3gw2,gd3gw3,gd4gw2,gd4gw3,gd4gw4,,over,over3,over4,over5,over6,over7,over10,,,
0,18.39,17.3,17.29,9.17,15.42,26.91,0,4.82,0,13.99,23.81,26.99,27.31,25.97,27.87,28.82,28.26,26.71,27.07,0,6.45,26.05,29.74,27.63,27.46,28.46,27.38,,,
1,18,17.58,16.42,10,0,24.19,0.56,0,0,5.04,23.12,25.6,26.27,23.64,25.2,25.05,28.4,27.26,26.3,1,18.6,22.79,25.53,25.5,24.94,25.82,27.61,,,
2,16.02,15.91,15.29,8.23,5.52,24.83,0,3.55,6.33,13.28,20.28,23.5,25.76,23.65,25.85,23.55,22.74,23.44,23.53,2,16.44,23.63,23.6,27.12,23.92,23.56,24.63,,,
3,20.22,16.68,15.97,9.96,0.36,24.39,0.76,3.38,6.23,14.37,21.44,24.88,24.77,24.17,25.17,26.93,25.48,25.95,26.96,3,9,23.13,26.88,25.53,26,25.66,25.82,,,
4,19.02,17.36,17.79,10.77,6.56,24.17,0.52,5.23,8.71,15.88,21.15,25.11,27.93,25.81,26.64,26.62,25.52,29.51,28.64,4,18.73,25.05,28.61,26.56,26.99,26.67,28.34,,,
5,15.53,16.81,16.73,10.96,3.6,24.13,2.6,1.02,7.34,13.76,21.57,24.25,26.4,23.96,25.42,24.71,25.72,25.51,25.23,5,7.86,23.7,25.31,25.01,26.97,26.32,26.57,,,
6,18,17.04,17.11,10.79,0,25.23,4.47,4.12,0,14.43,25.24,26.52,26.73,24.63,26.38,29.69,26.54,26.85,26.95,6,21.1,25.03,26.5,27.31,25.99,26.38,27.17,,,
7,20.08,19.15,16.37,9.74,4.73,27.65,4.86,5.62,0,14.7,23.62,29.8,27.93,28.83,28.34,27.33,26.78,30.22,27.9,7,19.85,26.4,28.84,28.47,28.07,27.43,28.33,,,
8,15.82,15.52,15.93,10.93,6.99,23.83,0,4.09,5.69,13.14,20.97,24.54,26.66,23.48,26.02,24.9,27.16,24.15,26.51,8,20.26,23.94,29.19,25.47,25.95,24.87,26.95,,,
9,15.93,16.65,16.99,10.91,0,25.55,3.47,4.5,4.21,14.04,22.53,26.62,28.04,29.06,28.17,26.94,27.7,28.37,27.28,9,18.37,25.46,28.73,26.63,29.6,27.5,27.75,,,
Mean,17.701,17,16.589,10.146,2.776,25.088,1.724,3.633,3.851,13.263,22.373,25.781,26.78,25.32,26.506,26.454,26.43,26.797,26.637,Mean,15.666,24.518,27.293,26.523,26.589,26.267,27.055,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0799208092,0.1284650978,1.74151432448761E-009,,,,,,,,,,,,0.2866858956,,,,,,,,,,6.07966018444078E-005,0.0002251712,0.2548133656,0.9044922873,0.297922961,0.0268235559
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round,GLOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,17.49,,17.2/local,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,19.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,15.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,15.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,?,,,,,,,,,,,,,,,,,,
