Round	GLOSS	GLOSS_fasttext	Gaelic	Gaelic_fasttext	ConcatGLOSSGaelic	GLOSS Gaelic	hyGD	hyGW	para	gd2gw1	gd3gw1	multi	multiPart	multiparthalf	multiComplete	halfover	multihalfover	over	over3	gd1gw1gw1		google 
0	18.39	17.3	17.29	9.17	15.42	13.67	9.44	15.95	25.42	30.72	0	25.58	32.64	24.07	23.46	17.85	26.31	29.05	28.52	29.83	0	22.09
1	18	17.58	16.42	10	14.31	12.49	9.07	15.6	25.32	26.74	1	21.8	32.28	18.58	23.69	14.22	24.85	28.61	27.04	29.28	1	25.38
2	16.02	15.91	15.29	8.23	15.38	11.01	7.69	14.15	20.72	24.52	2	20.05	29.94	18	21.61	13.87	22.96	23.78	28.19	28.16	2	23.72
3	20.22	16.68	15.97	9.96	14.18	12.33	9.12	14.72	22.22	27.3	3	21.83	31.18	22.25	23.44	13.88	25.48	27.5	28.19	28.08	3	23.21
4	19.02	17.36	17.79	10.77	18.63	12.56	9.08	15.74	24.27	28.43	4	23.36	32.83	23.79	22.52	14.79	25.33	25.51	28.43	29.03	4	22.31
5	15.53	16.81	16.73	10.96	14.89	12.13	10.45	14.88	24.55	25.09	5	23.48	31.11	21.4	20.69	14.2	24.39	27.88	26.28	28.93	5	23.41
6	18	17.04	17.11	10.79	15.16	11.55	8.62	14.45	27.03	30.33	6	21.9	32.19	23.61	22.16	15.95	26.29	25.72	27.73	30.15	6	24.53
7	20.08	19.15	16.37	9.74	15.2	12.78	10	16.41	25.34	31.39	7	21.63	33.52	23.73	23.47	15.1	25.61	27.12	27.84	30.65	7	22.78
8	15.82	15.52	15.93	10.93	15.5	12.43	10.52	15.15	24.24	25.71	8	21.59	30.93	23.16	22.97	14.02	25.59	25.2	28.4	29.8	8	25.67
9	15.93	16.65	16.99	10.91	15.72	11.65	8.46	17.61	25.96	31.36	9	23.09	34.35	24.49		16.33	26.32	26.39	28.44	30.83	9	23.42
Mean	17.701	17	16.589	10.146	15.439	12.26	9.245	10.245	24.507	28.159		22.431	32.097	22.308			25.313	26.676	27.906	29.474		23.652
									1.61488249718329E-008	2.98760907820663E-005							0.0134776171		4.79338984438381E-006	3.43443557457469E-006		0.232805014
																						
																			4.79338984438381E-006			
																		0.0895646882				
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																				Ls *		
																						
																						
																						
											?											
